         170055 function calls (163997 primitive calls) in 0.738 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.041    0.041 exceptions.py:1(<module>)
        1    0.000    0.000    0.045    0.045 cal.py:6(<module>)
        9    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       31    0.000    0.000    0.000    0.000 enum.py:855(_high_bit)
        2    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        2    0.000    0.000    0.048    0.024 connection.py:33(create_connection)
        2    0.000    0.000    0.001    0.000 connectionpool.py:167(__init__)
